       4:7f -- 8e 08|7e -- 1c 09|-- -- -- --|30* -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 7c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- ef 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 67 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- bd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- b3 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 9f 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|bc 88 ef 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- 8e 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:7a -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|-- 88 67 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|b8* -- -- --|bf* -- 1c 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:74 -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b6 88 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b8 -- -- --|bf* -- 0c 09|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:75 -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b6* 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:74 -- -- --|b8 -- -- --|bf* -- ef 08|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:75 -- -- --|bc 88 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 ef 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- bd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:75 -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|-- 88 d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8* -- -- --|bf* -- b3 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b6* 88 bd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b8 -- -- --|bf* -- 9f 08|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:75 -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- 88 -- --|bc 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f -- 8e 08|b6* -- 52 09|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- -- --|b8* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b6 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:-- -- -- --|b5* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|b4 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       8:-- -- -- --|b3* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- 88 8e 08|-- 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f -- -- --|b6* -- 3f 09|bf* -- bd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- -- --|b8* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b6 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:-- -- -- --|b5* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|b4 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b3 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- 88 8e 08|-- 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f -- -- --|b6* -- 52 09|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- -- --|b8* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b6 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:-- -- -- --|b5* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|b4 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b3 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- 88 8e 08|-- 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f -- -- --|b6* -- 7c 09|bf* -- 1c 09|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- -- --|b8* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b6 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:-- -- -- --|b5* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|b4 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       8:-- -- -- --|b3* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      12:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- 88 8e 08|-- 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f -- -- --|b6* -- 52 09|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- -- --|b8* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- -- --|b6 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      44:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      24:-- -- -- --|b5* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b4* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|b3* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:7a* -- -- --|b3* 88 3f --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b6* -- -- 09|bf* -- bd 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:79 -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|b8 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:75 -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:74 -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|b6 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:-- -- -- --|b5* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|b4 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       8:-- -- -- --|b3* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|-- -- -- --|80* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|b6* -- 52 09|bf* -- d5 08|-- -- -- --|-- -- -- --|-- 0f* -- --|
       4:-- -- -- --|b7 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b8 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7a -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:-- -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|bc -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|bb -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- -- --|ba -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- -- --|b9 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
